Airport,Iata,city_id
Phillips Army Air Field,KAPG,2298
Aberdeen Regional Airport,KABR,2299
Dyess Air Force Base,KDYS,2300
Abilene Regional Airport,KABI,2301
Ada Municipal Airport,KADH,2302
Adak Airport,PADK,2303
Addison Airport,KADS,2304
NAS Agana Airport,\N,2305
Agua Dulce,\N,2306
Aiken Municipal Airport,KAIK,2307
Akhiok Airport,PAKH,2308
Akiachak Airport,\N,2309
Akiak Airport,PFAK,2310
Akron Fulton International Airport,KAKR,2311
Akron Canton Regional Airport,KCAK,2312
Colorado Plains Regional Airport,KAKO,2313
Akutan Seaplane Base,KQA,2314
Shelby County Airport,KEET,2315
Alakanuk Airport,PAUK,2316
Alameda Naval Air Station,KNGZ,2317
Holloman Air Force Base,KHMN,2318
Alamogordo White Sands Regional Airport,KALM,2319
San Luis Valley Regional Bergman Field,KALS,2320
Albany International Airport,KALB,2321
Southwest Georgia Regional Airport,KABY,2322
Rensselaer Rail Station,\N,2323
Albany Depot ,\N,2324
Albion Amtrak Station,\N,2325
Albuquerque International Sunport Airport,KABQ,2326
Alvarado Transportation Center,\N,2327
Aleknagik / New Airport,5A8,2328
Thomas C Russell Field,KALX,2329
Esler Regional Airport,KESF,2330
Alexandria International Airport,KAEX,2331
Alexandria Union Station,\N,2332
Chandler Field,KAXN,2333
Alice International Airport,KALI,2334
Allakaket Airport,PFAL,2335
Lehigh Valley International Airport,KABE,2336
Bus Terminal,ATWN,2337
Alliance Municipal Airport,KAIA,2338
Alliance Station,\N,2339
Alpena County Regional Airport,KAPN,2340
Alpine Casparis Municipal Airport,KE38,2341
St Louis Regional Airport,KALN,2342
Altoona Blair County Airport,KAOO,2343
Altoona Transportation Center,\N,2344
Altus Air Force Base,KLTS,2345
Rick Husband Amarillo International Airport,KAMA,2346
Ambler Airport,PAFM,2347
Souther Field,KACJ,2348
Amherst Amtrak Station AMM,\N,2349
Amook Bay Seaplane Base,\N,2350
Amsterdam Amtrak Station,\N,2351
Anacortes Airport,\N,2352
Ferry Terminal,ACRT,2353
Anaheim Regional Transportation Intermodal Center,\N,2354
Anaktuvuk Pass Airport,PAKP,2355
Merrill Field,PAMR,2356
Elmendorf Air Force Base,PAED,2357
Ted Stevens Anchorage International Airport,PANC,2358
Lake Hood Seaplane Base,PALH,2359
Anchorage Rail Depot,\N,2360
Anchorage Main Station,\N,2361
South Alabama Regional Airport,\N,2362
Anderson Regional Airport,KAND,2363
Texas Gulf Coast Regional Airport,KLBX,2364
Tri State Steuben County Airport,KANQ,2365
Angoon Seaplane Base,PAGN,2366
Aniak Airport,PANI,2367
Ankeny Regional Airport,KIKV,2368
Ann Arbor Municipal Airport,KARB,2369
Ann Arbor Station,\N,2370
Annapolis,ANNA,2371
Lee Airport,KANP,2372
Annette Island Airport,PANT,2373
Anniston Metropolitan Airport,KANB,2374
Anoka County-Blaine Arpt(Janes Field) Airport,KANE,2375
Anvik Airport,PANV,2376
Apalachicola Regional Airport,KAAF,2377
Foster Field,\N,2378
Appleton International Airport,KATW,2379
Arcadia Municipal Airport,\N,2380
Arcata Airport,KACV,2381
Arco,\N,2382
Arctic Village Airport,PARC,2383
Ardmore Municipal Airport,KADM,2384
Ardmore Amtrak Station,\N,2385
Arlington Municipal Airport,KGKY,2386
Reagan National Airport Station,\N,2387
King Street-Old Town Station,\N,2388
Arlington Municipal Airport,KAWO,2389
Asheboro Regional Airport,KHBI,2390
Asheville Regional Airport,KAVL,2391
Asheville Greyhound Station,\N,2392
Ashland County Airport,\N,2393
Ashland Virgina Station,\N,2394
Aspen-Pitkin Co/Sardy Field,KASE,2395
Astoria Regional Airport,KAST,2396
Athens Ben Epps Airport,KAHN,2397
Ohio University Snyder Field,KUNI,2398
