city,country,Timezone
Aberdeen,United States,America/New_York
Aberdeen,United States,America/Chicago
Abilene,United States,America/Chicago
Abilene,United States,America/Chicago
Ada,United States,America/Chicago
Adak Island,United States,America/Adak
Addison,United States,America/Chicago
Agana,United States,\N
Agua Dulce,United States,\N
Aiken,United States,America/New_York
Akhiok,United States,America/Anchorage
Akiachak,United States,America/Anchorage
Akiak,United States,America/Anchorage
Akron,United States,America/New_York
Akron,United States,America/New_York
Akron,United States,America/Denver
Akutan,United States,America/Anchorage
Alabaster,United States,America/Chicago
Alakanuk,United States,America/Anchorage
Alameda,United States,America/Los_Angeles
Alamogordo,United States,America/Denver
Alamogordo,United States,America/Denver
Alamosa,United States,America/Denver
Albany,United States,America/New_York
Albany,United States,America/New_York
Albany,United States,America/New_York
Albany OR,United States,\N
Albion,United States,\N
Albuquerque,United States,America/Denver
Albuquerque,United States,America/Denver
Aleknagik,United States,America/Anchorage
Alexander City,United States,\N
Alexandria,United States,America/Chicago
Alexandria,United States,America/Chicago
Alexandria,United States,America/New_York
Alexandria,United States,\N
Alice,United States,America/Chicago
Allakaket,United States,America/Anchorage
Allentown,United States,America/New_York
Allentown,United States,America/New_York
Alliance,United States,America/Denver
Alliance,United States,America/New_York
Alpena,United States,America/New_York
Alpine,United States,\N
Alton/St Louis,United States,\N
Altoona,United States,America/New_York
Altoona,United States,America/New_York
Altus,United States,America/Chicago
Amarillo,United States,America/Chicago
Ambler,United States,America/Anchorage
Americus,United States,America/New_York
Amherst MA,United States,America/New_York
Amook Bay,United States,America/Anchorage
Amsterdam,United States,\N
Anacortes,United States,America/Los_Angeles
Anacortes,United States,America/Los_Angeles
Anaheim,United States,\N
Anaktuvuk Pass,United States,America/Anchorage
Anchorage,United States,America/Anchorage
Anchorage,United States,America/Anchorage
Anchorage,United States,America/Anchorage
Anchorage,United States,America/Anchorage
Anchorage,United States,America/Anchorage
Anchorage Alaska,United States,America/Anchorage
Andalusia,United States,\N
Andersen,United States,America/New_York
